relative_speed,drone_horizontal_turn_rate,step,drone_speed,drone_x_pos,heli_speed,drone_response_distance,is_violation
-179.11261513360805,14.0,520,51.33,2000.0,171.6,2000.0,0
-179.11261513360805,16.0,520,51.33,2000.0,171.6,2000.0,0
-179.11261513360805,18.0,520,51.33,2000.0,171.6,2000.0,0
-179.11261513360805,20.0,520,51.33,2000.0,171.6,2000.0,0
-178.3884326406844,6.0,520,66.0,2000.0,165.73,2000.0,0
-178.3884326406844,8.0,520,66.0,2000.0,165.73,2000.0,0
-178.3884326406844,10.0,520,66.0,2000.0,165.73,2000.0,0
-178.3884326406844,12.0,520,66.0,2000.0,165.73,2000.0,0
-178.3884326406844,14.0,520,66.0,2000.0,165.73,2000.0,0
-178.3884326406844,16.0,520,66.0,2000.0,165.73,2000.0,0
-178.3884326406844,18.0,520,66.0,2000.0,165.73,2000.0,0
-178.3884326406844,20.0,520,66.0,2000.0,165.73,2000.0,0
-177.15123482493706,6.0,520,44.0,2000.0,171.6,2000.0,0
-177.15123482493706,8.0,520,44.0,2000.0,171.6,2000.0,0
-177.15123482493706,10.0,520,44.0,2000.0,171.6,2000.0,0
-177.15123482493706,12.0,520,44.0,2000.0,171.6,2000.0,0
-177.15123482493706,14.0,520,44.0,2000.0,171.6,2000.0,0
-177.15123482493706,16.0,520,44.0,2000.0,171.6,2000.0,0
-177.15123482493706,18.0,520,44.0,2000.0,171.6,2000.0,0
-177.15123482493706,20.0,520,44.0,2000.0,171.6,2000.0,0
-175.88549058975843,6.0,520,73.33,2000.0,159.87,2000.0,0
-175.88549058975843,8.0,520,73.33,2000.0,159.87,2000.0,0
-175.88549058975843,10.0,520,73.33,2000.0,159.87,2000.0,0
-175.88549058975843,12.0,520,73.33,2000.0,159.87,2000.0,0
-175.88549058975843,14.0,520,73.33,2000.0,159.87,2000.0,0
-175.88549058975843,16.0,520,73.33,2000.0,159.87,2000.0,0
-175.88549058975843,18.0,520,73.33,2000.0,159.87,2000.0,0
-175.88549058975843,20.0,520,73.33,2000.0,159.87,2000.0,0
-175.8084235752087,6.0,520,58.67,2000.0,165.73,2000.0,0
-175.8084235752087,8.0,520,58.67,2000.0,165.73,2000.0,0
-175.8084235752087,10.0,520,58.67,2000.0,165.73,2000.0,0
-175.8084235752087,12.0,520,58.67,2000.0,165.73,2000.0,0
-175.8084235752087,14.0,520,58.67,2000.0,165.73,2000.0,0
-175.8084235752087,16.0,520,58.67,2000.0,165.73,2000.0,0
-175.8084235752087,18.0,520,58.67,2000.0,165.73,2000.0,0
-175.8084235752087,20.0,520,58.67,2000.0,165.73,2000.0,0
-173.49697922442337,6.0,520,51.33,2000.0,165.73,2000.0,0
-173.49697922442337,8.0,520,51.33,2000.0,165.73,2000.0,0
-173.49697922442337,10.0,520,51.33,2000.0,165.73,2000.0,0
-173.49697922442337,12.0,520,51.33,2000.0,165.73,2000.0,0
-173.49697922442337,14.0,520,51.33,2000.0,165.73,2000.0,0
-173.49697922442337,16.0,520,51.33,2000.0,165.73,2000.0,0
-173.49697922442337,18.0,520,51.33,2000.0,165.73,2000.0,0
-173.49697922442337,20.0,520,51.33,2000.0,165.73,2000.0,0
-172.95784717670372,6.0,520,66.0,2000.0,159.87,2000.0,0
-172.95784717670372,8.0,520,66.0,2000.0,159.87,2000.0,0
-172.95784717670372,10.0,520,66.0,2000.0,159.87,2000.0,0
-172.95784717670372,12.0,520,66.0,2000.0,159.87,2000.0,0
-172.95784717670372,14.0,520,66.0,2000.0,159.87,2000.0,0
-172.95784717670372,16.0,520,66.0,2000.0,159.87,2000.0,0
-172.95784717670372,18.0,520,66.0,2000.0,159.87,2000.0,0
-172.95784717670372,20.0,520,66.0,2000.0,159.87,2000.0,0
-171.47137632852895,6.0,520,44.0,2000.0,165.73,2000.0,0
-171.47137632852895,8.0,520,44.0,2000.0,165.73,2000.0,0
-171.47137632852895,10.0,520,44.0,2000.0,165.73,2000.0,0
