relative_speed,drone_ascent_rate,step,drone_speed,drone_y_pos,heli_speed,drone_response_distance,is_violation
-101.2,14.2,1039,58.67,2500.0,159.87,4000.0,0
-99.72999999999999,8.2,1039,66.0,2500.0,165.73,4600.0,0
-99.72999999999999,8.95,1039,66.0,2500.0,165.73,4200.0,0
-99.72999999999999,9.7,1039,66.0,2500.0,165.73,4000.0,0
-99.72999999999999,10.45,1039,66.0,2500.0,165.73,4000.0,0
-99.72999999999999,11.2,1039,66.0,2500.0,165.73,4000.0,0
-99.72999999999999,11.95,1039,66.0,2500.0,165.73,4000.0,0
-99.72999999999999,12.7,1039,66.0,2500.0,165.73,4000.0,0
-99.72999999999999,13.45,1039,66.0,2500.0,165.73,4000.0,0
-99.72999999999999,14.2,1039,66.0,2500.0,165.73,4000.0,0
-98.27,8.2,1039,73.33,2500.0,171.6,4600.0,0
-98.27,8.95,1039,73.33,2500.0,171.6,4400.0,0
-98.27,9.7,1039,73.33,2500.0,171.6,4200.0,0
-98.27,10.45,1039,73.33,2500.0,171.6,4200.0,0
-98.27,11.2,1039,73.33,2500.0,171.6,4000.0,0
-98.27,11.95,1039,73.33,2500.0,171.6,4000.0,0
-98.27,12.7,1039,73.33,2500.0,171.6,4000.0,0
-98.27,13.45,1039,73.33,2500.0,171.6,4000.0,0
-98.27,14.2,1039,73.33,2500.0,171.6,4000.0,0
-95.33,8.2,1039,58.67,2500.0,154.0,4400.0,0
-95.33,8.95,1039,58.67,2500.0,154.0,4200.0,0
-95.33,9.7,1039,58.67,2500.0,154.0,4000.0,0
-95.33,10.45,1039,58.67,2500.0,154.0,4000.0,0
-95.33,11.2,1039,58.67,2500.0,154.0,4000.0,0
-95.33,11.95,1039,58.67,2500.0,154.0,4000.0,0
-95.33,12.7,1039,58.67,2500.0,154.0,4000.0,0
-95.33,13.45,1039,58.67,2500.0,154.0,4000.0,0
-95.33,14.2,1039,58.67,2500.0,154.0,4000.0,0
-93.87,8.2,1039,66.0,2500.0,159.87,4200.0,0
-93.87,8.95,1039,66.0,2500.0,159.87,4000.0,0
-93.87,9.7,1039,66.0,2500.0,159.87,4000.0,0
-93.87,10.45,1039,66.0,2500.0,159.87,4000.0,0
-93.87,11.2,1039,66.0,2500.0,159.87,4000.0,0
-93.87,11.95,1039,66.0,2500.0,159.87,4000.0,0
-93.87,12.7,1039,66.0,2500.0,159.87,4000.0,0
-93.87,13.45,1039,66.0,2500.0,159.87,4000.0,0
-93.87,14.2,1039,66.0,2500.0,159.87,4000.0,0
-92.39999999999999,8.2,1039,73.33,2500.0,165.73,4800.0,0
-92.39999999999999,8.95,1039,73.33,2500.0,165.73,4400.0,0
-92.39999999999999,9.7,1039,73.33,2500.0,165.73,4200.0,0
-92.39999999999999,10.45,1039,73.33,2500.0,165.73,4000.0,0
-92.39999999999999,11.2,1039,73.33,2500.0,165.73,4000.0,0
-92.39999999999999,11.95,1039,73.33,2500.0,165.73,4000.0,0
-92.39999999999999,12.7,1039,73.33,2500.0,165.73,4000.0,0
-92.39999999999999,13.45,1039,73.33,2500.0,165.73,4000.0,0
-92.39999999999999,14.2,1039,73.33,2500.0,165.73,4000.0,0
-88.0,8.2,1039,66.0,2500.0,154.0,4400.0,0
-88.0,8.95,1039,66.0,2500.0,154.0,4200.0,0
-88.0,9.7,1039,66.0,2500.0,154.0,4000.0,0
-88.0,10.45,1039,66.0,2500.0,154.0,4000.0,0
-88.0,11.2,1039,66.0,2500.0,154.0,4000.0,0
-88.0,11.95,1039,66.0,2500.0,154.0,4000.0,0
-88.0,12.7,1039,66.0,2500.0,154.0,4000.0,0
-88.0,13.45,1039,66.0,2500.0,154.0,4000.0,0
-88.0,14.2,1039,66.0,2500.0,154.0,4000.0,0
