relative_speed,drone_ascent_rate,step,drone_speed,drone_y_pos,heli_speed,drone_response_distance,is_violation
-203.87,10.45,520,44.0,4000.0,159.87,6200.0,0
-203.87,11.2,520,44.0,4000.0,159.87,5800.0,0
-203.87,11.95,520,44.0,4000.0,159.87,5600.0,0
-203.87,12.7,520,44.0,4000.0,159.87,5200.0,0
-203.87,13.45,520,44.0,4000.0,159.87,5000.0,0
-203.87,14.2,520,44.0,4000.0,159.87,5000.0,0
-198.0,8.2,520,44.0,5000.0,154.0,7200.0,0
-198.0,8.95,520,44.0,4000.0,154.0,6800.0,0
-198.0,9.7,520,44.0,4000.0,154.0,6400.0,0
-198.0,10.45,520,44.0,4000.0,154.0,6000.0,0
-198.0,11.2,520,44.0,4000.0,154.0,5800.0,0
-198.0,11.95,520,44.0,4000.0,154.0,5400.0,0
-198.0,12.7,520,44.0,4000.0,154.0,5200.0,0
-198.0,13.45,520,44.0,4000.0,154.0,5000.0,0
-198.0,14.2,520,44.0,4000.0,154.0,5000.0,0
